Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
1.7533231728639004e-22,0.041572359999999996,3.953446385663303e-20,3.2813510355686424e-43,2.3817167290322825e-20,3.2391548001669763e-189,3.954021122393385e-20,0.938,4.278128809699319e-99,1.1371170258677265e-20,7.874191043709576e-63,5.747367300825944e-24,1.6472693273596813e-18,0.0,0.0,0.026632463764571745,0.01,0.05,3.4109547552562607e-103,6.455578326609981e-127,0.0019999999999999987,7.099195739871243e-202
3.506836614113353e-22,0.041572359999999996,7.907321794265903e-20,1.3126472390212843e-42,4.763691918914138e-20,1.6589976691446911e-186,7.908471330095762e-20,0.938,1.3692123049470464e-97,2.274357450218998e-20,6.299950968906731e-62,1.1495358298591748e-23,3.2947174142773483e-18,0.0,0.0,0.02663246376457174,0.01,0.05,5.4578448856117294e-102,4.132217448617636e-125,0.001999999999999997,7.271991451151736e-199
7.013863496612259e-22,0.041572359999999996,1.5815072611471088e-19,5.250802614489262e-42,9.527642298677774e-20,8.495477422686468e-184,1.58173717455005e-19,0.938,4.381817145416462e-96,4.54883829892154e-20,5.0402000428775346e-61,2.2991340294123353e-23,6.589613588112511e-18,0.0,0.0,0.026632463764571738,0.01,0.05,8.732805641669416e-101,2.6448263297720084e-123,0.0019999999999999935,7.447755999595761e-196
1.4027917261610071e-21,0.041572359999999996,3.163057424588142e-19,2.1003637792046163e-41,1.9055543058204757e-19,4.350045277804063e-181,3.163517257630994e-19,0.938,1.4022355329157152e-94,9.09779999632662e-20,4.0322557461948837e-60,4.598330428518655e-23,1.3179405935782154e-17,0.0,0.0,0.02663246376457173,0.01,0.05,1.3972692095797318e-99,1.6927551471686262e-121,0.0019999999999999866,7.627135435416929e-193
2.8056024791605695e-21,0.041572359999999996,6.32615775147019e-19,8.401540592135889e-41,3.8111344577257557e-19,2.2273155653230357e-178,6.327077423792863e-19,0.938,4.487240186427025e-93,1.819572339113677e-19,3.225842885802162e-59,9.196723226731288e-23,2.6358990631118712e-17,0.0,0.0,0.026632463764571717,0.01,0.05,2.2356469838572678e-98,1.0833845106214939e-119,0.001999999999999973,7.810510961892373e-190
5.6112239851596936e-21,0.041572359999999996,1.2652358405234214e-18,3.3606333381850128e-40,7.622294761535852e-19,1.140409224040349e-175,1.265419775611653e-18,0.938,1.4359306999258343e-91,3.639157018075704e-19,2.580689630007193e-58,1.839350882315654e-22,5.2718160021780926e-17,0.0,0.0,0.02663246376457169,0.01,0.05,3.57704818259409e-97,6.933728776388628e-118,0.0019999999999999463,7.998129286035134e-187
1.1222466997157943e-20,0.041572359999999996,2.5304759712761973e-18,1.3442567605006228e-39,1.524461536915419e-18,5.838955823548695e-173,2.5308438420763578e-18,0.938,4.595000404383033e-90,7.278326375999743e-19,2.0645578417319557e-57,3.6787080016006955e-22,1.0543649880306175e-16,0.0,0.0,0.026632463764571634,0.01,0.05,5.723287529604372e-96,4.4376081669319526e-116,0.0019999999999998925,8.190169469224915e-184
2.2444953021154442e-20,0.041572359999999996,5.060956232781636e-18,5.3770339320863656e-39,3.048925658438343e-18,2.989560935306024e-170,5.061691975005653e-18,0.938,1.4704036885920083e-88,1.455666509184776e-18,1.6516487431354449e-56,7.35742224017075e-22,2.108731763654489e-16,0.0,0.0,0.026632463764571523,0.01,0.05,9.157268495620797e-95,2.8400762114760326e-114,0.0019999999999997845,8.386777212450236e-181
4.488992506914744e-20,0.041572359999999996,1.0121916755792052e-17,2.1508149825505067e-38,6.09785390148122e-18,1.5306592224562693e-167,1.0123388240863784e-17,0.938,4.705297580381706e-87,2.9113342523543545e-18,1.3213200058576225e-55,1.4714850717310731e-21,4.2174653148952493e-16,0.0,0.0,0.026632463764571297,0.01,0.05,1.4651636666126679e-93,1.8176510419271813e-112,0.0019999999999995685,8.588082462310566e-178
8.977986916513343e-20,0.041572359999999996,2.0243837801811054e-17,8.603263003222118e-38,1.2195710387555085e-17,7.836985947718796e-165,2.0246780772578212e-17,0.938,1.505696202617431e-85,5.8226697386934134e-18,1.057056446743565e-54,2.94297076715902e-21,8.434932417348849e-16,0.0,0.0,0.026632463764570846,0.009999999999999998,0.049999999999999996,2.344262533080665e-92,1.1632974324533594e-110,0.0019999999999991366,8.794208491415023e-175
