Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45)
6.869802178446905e-23,0.05497191311922635,1.783860509492128e-20,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,3.0982661232997272e-108,2.684690079687387e-119,0.002,7.659404571164509e-190,5.168547613038142e-154,1.8040596602608473e-18,8.084774777647334e-94,2.7968302371560483e-21,9.38892466038078e-61,2.605092124539688e-23,7.421897572364757e-20,1.7812554173675877e-20,6.316651835715218e-42,1.0391108460256368e-177,6.962857327727388e-131,1.9041433720343334e-90,3.3631460020177463e-100
1.374034985902929e-22,0.05497191311922635,3.567914601242475e-20,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,4.957516025964922e-107,1.7184708896512477e-117,0.002,7.84583602361319e-187,1.3234273207188611e-151,3.608315094762509e-18,2.587526893366574e-92,5.593963982748033e-21,7.511852922297877e-60,5.210466950340856e-23,1.4844600559549794e-19,3.5627041342921335e-20,2.526866373384054e-41,5.322013340912737e-175,8.914330183136611e-129,6.094198306821321e-89,5.381346432435848e-99
2.7481445220194055e-22,0.05497191311922635,7.136022784743166e-20,0.938,0.0,0.0,0.035216607481917836,0.01,0.049999999999999996,7.9322627159513e-106,1.099907569730789e-115,0.002,8.035470756906432e-184,3.388331387146398e-149,7.21682596375569e-18,8.280724732358542e-91,1.1188231473931999e-20,6.009767631007652e-59,1.0421216601943186e-22,2.969000653391873e-19,7.125601568141222e-20,1.010787678694305e-40,2.725323056703684e-172,1.1411541757814786e-126,1.9502937945466739e-87,8.61040455584373e-98
5.496363594252359e-22,0.05497191311922635,1.4272239151744548e-19,0.938,0.0,0.0,0.03521660748191783,0.01,0.04999999999999999,1.269182565771732e-104,7.039684758795006e-114,0.0019999999999999996,8.229005978242857e-181,8.674586478008157e-147,1.4433847701701468e-17,2.649934280705402e-89,2.2376766456299925e-20,4.807928225657179e-58,2.0842715905147843e-22,5.938081848265201e-19,1.4251396435839396e-19,4.04323297537643e-40,1.3954812720664915e-169,1.4607541893712197e-124,6.2411806913885964e-86,1.3776847502364464e-96
1.0992801738718267e-21,0.05497191311922635,2.854467188574729e-19,0.938,0.0,0.0,0.035216607481917815,0.01,0.049999999999999975,2.0307135390645692e-103,4.505487254346044e-112,0.0019999999999999987,8.426853333000952e-178,2.2207530702654298e-144,2.8867891177430724e-17,8.479954601029979e-88,4.475383642103577e-20,3.846388230333084e-57,4.168571451155713e-22,1.187624423801003e-18,2.850298617123573e-19,1.6173096427796003e-39,7.145161617004887e-167,1.8698147888136942e-122,1.9972163096893796e-84,2.2043116180138365e-95
2.198567802765008e-21,0.05497191311922635,5.708953735375273e-19,0.938,0.0,0.0,0.03521660748191779,0.01,0.04999999999999995,3.249174837900541e-102,2.8835410767757965e-110,0.0019999999999999974,8.629279735052389e-175,5.6852047773479484e-142,5.773597812824e-17,2.7136125693021296e-86,8.950797635050738e-20,3.0771288456831965e-56,8.337171172437565e-22,2.3752569017492383e-18,5.7006165642028345e-19,6.469271479424858e-39,3.6583998004630986e-164,2.393395188822375e-120,6.391153771602922e-83,3.526911404832519e-94
4.397143060551371e-21,0.05497191311922635,1.1417926828976333e-18,0.938,0.0,0.0,0.035216607481917725,0.01,0.04999999999999989,5.198757571625614e-101,1.845476605181495e-108,0.0019999999999999944,8.83647988889676e-172,1.4554230280230346e-139,1.1547215202726158e-16,8.683608135425778e-85,1.7901625620945028e-19,2.4617103833326557e-55,1.6674370615001228e-21,4.750521857642782e-18,1.1401252458361331e-18,2.5877151757674423e-38,1.873121334407576e-161,3.0635680895532266e-118,2.045179058826585e-81,5.643068506626597e-93
8.794293576124097e-21,0.05497191311922635,2.2835873016178337e-18,0.938,0.0,0.0,0.0352166074819176,0.01,0.049999999999999774,8.318238509523903e-100,1.1811095586839924e-106,0.0019999999999999883,9.04861409185612e-169,3.7259004148947737e-137,2.3094449981491685e-16,2.778765186828961e-83,3.580328159273348e-19,1.969371232897487e-54,3.3348769500128393e-21,9.501051769418171e-18,2.2802524246678213e-18,1.0350873889651929e-37,9.590443389301814e-159,3.921385494038891e-116,6.544588744706123e-80,9.028917837194274e-92
1.7588594607269547e-20,0.05497191311922635,4.567176539058191e-18,0.938,0.0,0.0,0.03521660748191736,0.01,0.049999999999999545,1.3309887947614155e-98,7.559131422846383e-105,0.0019999999999999766,9.265828891243954e-166,9.538347325029965e-135,4.618891953486759e-16,8.892084202099708e-82,7.160659353630989e-19,1.5754981624307843e-53,6.6697567270382114e-21,1.900211159292214e-17,4.560506782331153e-18,4.1403522080366805e-37,4.91033247862794e-156,5.019395667471958e-114,2.094270915089867e-78,1.44462751831076e-90
3.517719666956045e-20,0.05497191311922635,9.134355013938732e-18,0.938,0.0,0.0,0.035216607481916865,0.01,0.04999999999999908,2.1298066474716933e-97,4.837873945753303e-103,0.001999999999999953,9.488270284780271e-163,2.441832518794781e-132,9.23778586249988e-16,2.8454845905640994e-80,1.4321321742346071e-18,1.26039900938078e-52,1.3339516281088707e-20,3.8004231239742864e-17,9.121015497657644e-18,1.6561414255364118e-36,2.5141065279303967e-153,6.424867559362293e-112,6.7016709279224404e-77,2.3114045807284442e-89
