Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46),O2X2(70),OH(D)(31)
1.4051648117235557e-22,0.05913344287745208,3.7894564938718194e-20,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,7.781084703591709e-105,2.838221971076083e-114,0.002,4.5063593737488326e-182,9.75234255782181e-148,3.827190559732107e-18,2.3212360105390826e-90,8.594811543483729e-21,2.680790827432362e-58,1.0643593169319134e-22,1.574505375292529e-19,3.778812900702501e-20,1.9297911206256523e-40,1.8692801861730186e-170,5.280626983102478e-126,4.5232004619203825e-87,2.0219179973803332e-97,6.144840458044018e-109,1.93140244475135e-62,1.607606480996057e-43
2.8104058626534337e-22,0.05913344287745208,7.579118590070906e-20,0.938,0.0,0.0,0.0378826045648627,0.01,0.049999999999999996,1.2450106201459148e-103,1.81660442005432e-112,0.002,4.6152785601605615e-179,2.4968630836429943e-145,7.654588769088522e-18,7.428528139291424e-89,1.7190089410636463e-20,2.1447344757809634e-57,2.128776382185509e-22,3.149096177603054e-19,7.557830826249052e-20,7.719478590698296e-40,9.572302884134327e-168,6.759912832901893e-124,1.447535729520863e-85,3.235162826575897e-96,1.9664080058683628e-107,1.5452197616499445e-61,6.430687590662976e-43
5.62088796451319e-22,0.05913344287745208,1.5158442782469068e-19,0.938,0.0,0.0,0.03788260456486269,0.01,0.04999999999999999,1.9920487610113563e-102,1.1626724521065427e-110,0.0019999999999999996,4.726438018498948e-176,6.392307019597327e-143,1.5309385187746966e-17,2.3772208104495165e-87,3.438064514494192e-20,1.715828307316662e-56,4.2576105126926985e-22,6.298277782223024e-19,1.5115866677342142e-19,3.087854259162958e-39,4.901425993695166e-165,8.653143540129091e-122,4.632292872740803e-84,5.176335747368119e-95,6.292600113891724e-106,1.2362149326545128e-60,2.5723273705326037e-42
1.1241852168232702e-21,0.05913344287745208,3.031709116726539e-19,0.938,0.0,0.0,0.03788260456486268,0.01,0.049999999999999975,3.187310199747363e-101,7.441250540930542e-109,0.0019999999999999987,4.840074156701456e-173,1.636473988897277e-140,3.0618978024846316e-17,7.607254361572158e-86,6.876175661355281e-20,1.3726789368600978e-55,8.515278773707076e-22,1.2596640991458657e-18,3.023193837952832e-19,1.2351542684546442e-38,2.5096345523989865e-162,1.1076316283362754e-119,1.4823622856348553e-82,8.282197376411264e-94,2.0136471558183802e-104,9.889875953778694e-60,1.0289414151596879e-41
2.2483780575671726e-21,0.05913344287745208,6.063438793685796e-19,0.938,0.0,0.0,0.03788260456486264,0.01,0.04999999999999995,5.09974372004116e-100,4.762448425317713e-107,0.001999999999999997,4.956340226992349e-170,4.1894299125754e-138,6.123816369817488e-17,2.434345599106603e-84,1.3752397955077446e-19,1.0981496661142908e-54,1.7030615295735808e-21,2.519336740991267e-18,6.046408178390061e-19,4.940642204316492e-38,1.2849599028578133e-159,1.4177875329080977e-117,4.7436050180259e-81,1.3251563949139615e-92,6.443695090607374e-103,7.911963355423802e-59,4.1157865946251895e-41
4.496763739054977e-21,0.05913344287745208,1.2126898147604283e-18,0.938,0.0,0.0,0.03788260456486258,0.01,0.049999999999999885,8.159697167596685e-99,3.0479837694638973e-105,0.001999999999999994,5.075347951355186e-167,1.0725017805495781e-135,1.2247653504135133e-16,7.789948228291361e-83,2.7504842542521733e-19,8.785223398386237e-54,3.40612883397932e-21,5.038682024675172e-18,1.2092836859264491e-18,1.9762619084830873e-37,6.57906665756152e-157,1.814781065364762e-115,1.5179609167193582e-79,2.120254084375672e-91,2.0619863003472225e-101,6.329595713244835e-58,1.646318824656662e-40
8.993535102030585e-21,0.05913344287745208,2.4253816855441155e-18,0.938,0.0,0.0,0.03788260456486245,0.01,0.04999999999999976,1.3055822985138246e-97,1.9507167627661428e-103,0.001999999999999988,5.197189175206144e-164,2.745616956206541e-133,2.449532777137818e-16,2.4927924975674786e-81,5.50097317174101e-19,7.028189151123239e-53,6.812263442790762e-21,1.0077372592015391e-17,2.4185694221013247e-18,7.905057692622302e-37,3.3685034197541464e-154,2.3229302285373543e-113,4.857486619985048e-78,3.3924096194527193e-90,6.598362359337733e-100,5.063686569137188e-57,6.585283672248985e-40
1.7987077827981805e-20,0.05913344287745208,4.850765427111446e-18,0.938,0.0,0.0,0.037882604564862185,0.01,0.04999999999999952,2.0890272372398964e-96,1.2484632966832912e-101,0.0019999999999999753,5.321947612271434e-161,7.028808141923945e-131,4.89906763002953e-16,7.976965181615198e-80,1.100195100671861e-18,5.622555501240709e-52,1.3624532660413524e-20,2.0154753726585458e-17,4.837140894451033e-18,3.1620250929206595e-36,1.724682140842835e-151,2.9733628427633253e-111,1.554397581148984e-76,5.4278578664967995e-89,2.111476949304039e-98,4.050953233865941e-56,2.6341151436248754e-39
3.597416327988424e-20,0.05913344287745208,9.701532910245939e-18,0.938,0.0,0.0,0.037882604564861665,0.01,0.049999999999999024,3.342747093708754e-95,7.990208907287227e-100,0.00199999999999995,5.449706180987237e-158,1.799385148951133e-128,9.798137333585356e-16,2.5526429275656044e-78,2.2003906676673505e-18,4.498046084926813e-51,2.724907109565853e-20,4.0309515995284126e-17,9.674283839150281e-18,1.2648104436488286e-35,8.830424138773016e-149,3.805926173824154e-109,4.974075194733145e-75,8.684574591688464e-88,6.756727845316589e-97,3.2407641451333366e-55,1.0536463923950054e-38
7.19483341836891e-20,0.05913344287745208,1.9403067876514242e-17,0.938,0.0,0.0,0.037882604564860624,0.009999999999999998,0.049999999999998046,5.349364773822403e-94,5.113785081650465e-98,0.0019999999999999003,5.580553449095519e-155,4.606472843727238e-126,1.959627673178663e-15,8.168540033844185e-77,4.400781801658208e-18,3.598437560390011e-50,5.449814796614649e-20,8.061904053091556e-17,1.9348569728548098e-17,5.059242614005393e-35,4.521221184739781e-146,4.87163514781789e-107,1.5917045028986628e-73,1.3895321030922407e-86,2.1621531783566914e-95,2.59261188591081e-54,4.21458623946947e-38
1.4389667599129886e-19,0.05913344287745208,3.8806137809048125e-17,0.938,0.0,0.0,0.03788260456485854,0.009999999999999997,0.04999999999999609,8.562084337575099e-93,3.27288671785952e-96,0.0019999999999998,5.714592418453089e-152,1.1792803129145301e-123,3.919255549254765e-15,2.613984536215595e-75,8.80156406963944e-18,2.878750355491019e-49,1.089963017071143e-19,1.6123808959511485e-16,3.869714150734101e-17,2.023697234643254e-34,2.3149080786874383e-143,6.235816243457355e-105,5.093454928449484e-72,2.223251525280775e-85,6.918890667459762e-94,2.074089651190751e-53,1.6858346297650832e-37
2.877933596065183e-19,0.05913344287745208,7.761227767410502e-17,0.938,0.0,0.0,0.03788260456485437,0.009999999999999992,0.04999999999999217,8.574097104077919e-93,2.0947292787239945e-94,0.0019999999999996,1.4460146648406719e-148,3.019075784772747e-121,7.838511287150364e-15,8.365079669286806e-74,1.7603128605599963e-17,2.3030004555837166e-48,2.179926091890171e-19,3.2247618769525916e-16,7.7394285064916e-17,8.094789485927783e-34,2.9305142755402715e-140,7.982157866254974e-103,1.6299055412846058e-70,2.2232515117552969e-85,2.032424118098765e-93,1.6592716412021351e-52,6.743338787010102e-37
5.755867268369572e-19,0.05913344287745208,1.5522455740417522e-16,0.938,0.0,0.0,0.03788260456484604,0.009999999999999983,0.04999999999998433,8.598122636977151e-93,1.3407312620144949e-92,0.0019999999999992003,1.483417870749683e-145,7.729437915513866e-119,1.5677022705915127e-14,2.677035849997571e-72,3.520625767751325e-17,1.8424005102542035e-47,4.359852241526918e-19,6.44952383782531e-16,1.5478857218002257e-16,3.2379160392601155e-33,1.5022865178595312e-137,1.021796196749079e-100,5.215696913923834e-69,2.2232514847043789e-85,4.713494146516436e-93,1.3274170622851064e-51,2.6973355683901307e-36
1.1511734612978353e-18,0.05913344287745208,3.1044911686414153e-16,0.938,0.0,0.0,0.03788260456482937,0.009999999999999966,0.04999999999996865,8.646173702365052e-93,8.58201748576915e-91,0.0019999999999984006,1.5192643856938096e-142,1.979045153365995e-116,3.135404531533893e-14,8.567860512273481e-71,7.041251582130879e-17,1.4739205902156453e-46,8.71970454079518e-19,1.289904775505006e-15,3.09577146410062e-16,1.295166573016286e-32,7.692932479325891e-135,1.3081038050812249e-98,1.669022394585415e-67,2.2232514306085595e-85,1.0075633906212061e-92,1.0619331995154387e-50,1.0789342380701784e-35
1.7267601957587131e-18,0.05913344287745208,4.656736763239337e-16,0.938,0.0,0.0,0.037882604564812704,0.009999999999999948,0.04999999999995298,4.956738309185579e-89,4.810584209430238e-90,0.001999999999997601,1.0176746866477827e-141,1.5026507486116227e-115,4.7031067696657025e-14,4.008485398864577e-70,1.0561877396507328e-16,4.214492005600857e-46,1.3079556840058202e-18,1.934857166775413e-15,4.643657206399278e-16,2.7522292194537283e-32,4.388079016509496e-134,8.657890255914067e-98,7.808057232617834e-67,1.2808157382205847e-81,3.090137784013367e-89,3.152613439660165e-50,2.2927352625919793e-35
