Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46),O2X2(70)
1.2673110329279761e-23,0.10924808674370724,5.324652375962102e-21,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,5.5515575887289775e-96,2.7952842928488923e-101,0.002,3.422175837605059e-164,3.2331512083637765e-133,4.691658298557594e-19,6.266405265543762e-84,9.951973127046704e-21,3.646274669155924e-52,6.922990537154082e-22,1.9301472176012613e-20,4.632353322246693e-21,2.9200360137080228e-37,9.152589837217132e-153,7.090957557582104e-117,3.017348155409344e-81,2.815987776551892e-92,2.140730692793625e-102,2.440178960647508e-57
2.5351723528871845e-23,0.10924808674370724,1.0651616802456577e-20,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,8.884558557767012e-95,1.7901035284456648e-99,0.002,3.508968026604583e-161,8.283854083741013e-131,9.385353791333801e-19,2.0064869032206674e-82,1.9908267562442102e-20,2.91812791263425e-51,1.3848987149226597e-21,3.8611325364663525e-20,9.266718087533915e-21,1.1683947577876606e-36,4.692351440009477e-150,9.084057584301832e-115,9.661471437896803e-80,4.50662854402693e-91,6.851984906788628e-101,1.9531321855461281e-56
5.070894992805601e-23,0.10924808674370724,2.130554565544566e-20,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,1.421694716910222e-93,1.1460253025067739e-97,0.002,3.595571204035149e-158,2.1215614537128318e-128,1.877274477686917e-18,6.422738378706402e-81,3.982085643323291e-20,2.334945695765325e-50,2.7700980373371613e-21,7.723103174187413e-20,1.853544761810848e-20,4.6743398441264865e-36,2.404079011268759e-147,1.1632480696704889e-112,3.092624385075248e-78,7.211444150820061e-90,2.1928986402898236e-99,1.5629014518455208e-55
1.0142340272642435e-22,0.10924808674370724,4.261340336142433e-20,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,2.2748439352822508e-92,7.335711121546183e-96,0.002,3.6830880737593722e-155,5.432342995784056e-126,3.75475267478717e-18,2.0555931927745813e-79,7.964603417481452e-20,1.868133921822218e-49,5.54049668216616e-21,1.5447044449593055e-19,3.70729066792581e-20,1.8698881110824932e-35,1.231296970419892e-144,1.4892703831435548e-110,9.897923952197042e-77,1.1538981422871965e-88,7.017697199466882e-98,1.2504794621185677e-54
2.0285230832316102e-22,0.10924808674370724,8.52291187733837e-20,0.938,0.0,0.0,0.06998750399425421,0.01,0.049999999999999996,3.639856559326468e-91,4.69522292469348e-94,0.002,3.7721086036833416e-152,1.3908264821629712e-123,7.509709068960396e-18,6.57840536808663e-78,1.5929638965797776e-19,1.494578087331167e-48,1.108129397182414e-20,3.0894927000258397e-19,7.41478248015593e-20,7.479856802030783e-35,6.305286554328717e-142,1.9064663563389513e-108,3.167579834062263e-75,1.846290689307e-87,2.2457305508607805e-96,1.0004468937416096e-53
4.0571011951663435e-22,0.10924808674370724,1.7046054959731053e-19,0.938,0.0,0.0,0.0699875039942542,0.01,0.04999999999999999,5.823856632563526e-90,3.0050604173536098e-92,0.0019999999999999996,3.862960019276365e-149,3.5607036005408e-121,1.5019621857197726e-17,2.1051708951907372e-76,3.1859710062430424e-19,1.195690850572266e-47,2.2162888551140024e-20,6.179069210100535e-19,1.4829766104616946e-19,2.9920035934364034e-34,3.228574578825957e-139,2.4404051486869e-106,1.0136646156178996e-73,2.954108029401818e-86,7.186445671253142e-95,8.003828452645535e-53
8.114257419035811e-22,0.10924808674370724,3.409234112451966e-19,0.938,0.0,0.0,0.06998750399425419,0.01,0.049999999999999975,9.3182431297067e-89,1.9232764000194787e-90,0.0019999999999999987,3.955835424868294e-146,9.115641871014502e-119,3.0039447433235896e-17,6.73667694011919e-75,6.371985225569576e-19,9.565640328924925e-47,4.432607770977149e-20,1.2358222230016428e-18,2.965973335354209e-19,1.1968136120079542e-33,1.6530988036298648e-136,3.1238007361819665e-104,3.243789280244094e-72,4.726607179267827e-85,2.2996798758397966e-93,6.4031640828199235e-52
1.6228569866774744e-21,0.10924808674370724,6.818491345410984e-19,0.938,0.0,0.0,0.06998750399425416,0.01,0.04999999999999995,1.4909258565589407e-87,1.230909039094937e-88,0.001999999999999997,4.0508598413915323e-143,2.3336352530960693e-116,6.007909858356627e-17,2.15575755391421e-73,1.274401366422265e-18,7.652557673184575e-46,8.865245602703323e-20,2.471652826891423e-18,5.931966785140483e-19,4.787278797408628e-33,8.464041981785397e-134,3.998517739611175e-102,1.0380225707200825e-70,7.562598923861004e-84,7.359003192695053e-92,5.122571791762295e-51
3.2457194762252613e-21,0.10924808674370724,1.3637005811334205e-18,0.938,0.0,0.0,0.06998750399425409,0.01,0.049999999999999885,2.3854906292108232e-86,7.877857583912508e-87,0.001999999999999994,4.1481241020372603e-140,5.974146509246279e-114,1.2015840087724319e-16,6.898458438476714e-72,2.5488070541528825e-18,6.122064302630568e-45,1.773052126615519e-19,4.943314034297388e-18,1.1863953684718009e-18,1.914916388850978e-32,4.3336350264084196e-131,5.118137068360683e-100,3.3216882234833966e-69,1.2100180135811766e-82,2.3548854183648626e-90,4.0980736387394086e-50
6.491444455320835e-21,0.10924808674370724,2.7274034743201382e-18,0.938,0.0,0.0,0.06998750399425396,0.009999999999999998,0.04999999999999977,3.8168042347400284e-85,5.041842689309682e-85,0.001999999999999988,4.2477022935515837e-137,1.5293870004848362e-111,2.4031700543666165e-16,2.2075126774967406e-70,5.09761842961413e-18,4.897658707756829e-44,3.5461072593057003e-19,9.886636447614939e-18,2.372792748389298e-18,7.659675295200424e-32,2.2188332481599082e-128,6.551238901102339e-98,1.06294278813954e-67,1.9360305409032658e-81,7.53564026021937e-89,3.278465385240022e-49
1.2982894413511982e-20,0.10924808674370724,5.45480926070187e-18,0.938,0.0,0.0,0.0699875039942537,0.009999999999999997,0.049999999999999524,6.106939985278764e-84,3.2267851831606897e-83,0.0019999999999999758,4.3496608302275035e-134,3.9152394978434554e-109,4.806342144437569e-16,7.064053297043417e-69,1.0195241180536676e-17,3.918129872480173e-43,7.092217524685294e-19,1.9773281268272527e-17,4.74558750823226e-18,3.0638720660490534e-31,1.1360461938560668e-125,8.385604546595876e-96,3.401420993892742e-66,3.0976501465848298e-80,2.4114059182086567e-87,2.6227748852607653e-48
2.5965794329894275e-20,0.10924808674370724,1.0909620833498517e-17,0.938,0.0,0.0,0.06998750399425317,0.009999999999999992,0.049999999999999045,9.771267591531459e-83,2.0651462293560736e-81,0.001999999999999951,4.454063374396647e-131,1.002303327842365e-106,9.612686320109812e-16,2.2605011176533975e-67,2.0390486682381955e-17,3.134505060512642e-42,1.4184438055441408e-18,3.9546570885677636e-17,9.491177027950047e-18,1.225549216020304e-30,5.8165704608732336e-123,1.073359540339171e-93,1.0884553575355046e-64,4.956240958015582e-79,7.716500130216734e-86,2.0982209188236084e-47
5.193159416265886e-20,0.10924808674370724,2.1819243979224536e-17,0.938,0.0,0.0,0.06998750399425213,0.009999999999999981,0.04999999999999808,1.5634546389998373e-81,1.3216971251235122e-79,0.001999999999999902,4.560973900798228e-128,2.5659036723624734e-104,1.9225374653575638e-15,7.23362304272877e-66,4.0780977686073296e-17,2.507604513450631e-41,2.836887911694133e-18,7.909315002484765e-17,1.8982356067513094e-17,4.902197643337074e-30,2.9780925691846522e-120,1.3739040459097064e-91,3.4830580904590784e-63,7.929985147094546e-78,2.46927993547207e-84,1.678577106964188e-46
1.0386319382818803e-19,0.10924808674370724,4.363849027120751e-17,0.938,0.0,0.0,0.06998750399425005,0.00999999999999996,0.04999999999999616,1.5636547751030776e-81,8.458903009250547e-78,0.001999999999999804,1.1540616318814034e-124,6.5687459663401075e-102,3.8450751248992694e-15,2.3147707865582735e-64,8.15619596934591e-17,2.0060837968231587e-40,5.6737761239892004e-18,1.5818630792062674e-16,3.7964714147149065e-17,1.9608792132295198e-29,3.769921115916064e-117,1.7586059121605875e-89,1.1145786911855162e-61,7.929980187138197e-78,7.253506797790347e-84,1.342861782588223e-45
2.0772639315924638e-19,0.10924808674370724,8.727698285729718e-17,0.938,0.0,0.0,0.06998750399424587,0.009999999999999919,0.04999999999999231,1.564055653112631e-81,5.4137496864187064e-76,0.001999999999999608,1.183831556114898e-121,1.6816151211927907e-99,7.690150415376838e-15,7.407337886618678e-63,1.6312392370824316e-16,1.6048671119578772e-39,1.134755254855966e-17,3.163726221819412e-16,7.592943030846051e-17,7.843517165055527e-29,1.9324633622429004e-114,2.251037232352422e-87,3.5666516606445656e-60,7.929973341873386e-78,1.6821952208264923e-83,1.0742893820849167e-44
4.154527918213631e-19,0.10924808674370724,1.7455396803797128e-16,0.938,0.0,0.0,0.06998750399423753,0.009999999999999837,0.049999999999984605,1.5649350342946157e-81,3.464865655153315e-74,0.0019999999999992155,1.2122714657959502e-118,4.305016752716897e-97,1.5380300881908604e-14,2.3703935325970225e-61,3.262478517378612e-16,1.2838937194848992e-38,2.2695105397621886e-17,6.327452445835956e-16,1.5185886263924147e-16,3.1374069287281495e-28,9.894423849914299e-112,2.8813826758924663e-85,1.141328305794755e-58,7.930353203935465e-78,3.59597595075273e-83,8.594313556058518e-44
6.231791904834798e-19,0.10924808674370724,2.6183095322714026e-16,0.938,0.0,0.0,0.06998750399422919,0.009999999999999756,0.0499999999999769,9.0110817802479e-78,1.9421132403258372e-73,0.001999999999998823,8.120262158741005e-118,3.2686022023664348e-96,2.3070451234017002e-14,1.1089312823767691e-60,4.893717797675291e-16,3.671133626290952e-38,3.4042658246605414e-17,9.491178608642751e-16,2.2778829497818046e-16,6.666989763104899e-28,5.6437359225588496e-111,1.907012859506415e-84,5.3393874797734146e-58,4.568455123615904e-74,1.1028352684589862e-79,2.551436571662817e-43
1.038631987807713e-18,0.10924808674370724,4.363849236394574e-16,0.938,0.0,0.0,0.0699875039942125,0.009999999999999593,0.0499999999999615,9.020332619928965e-78,4.855371897995279e-72,0.0019999999999980385,4.3632328075309605e-115,2.9967214321924965e-94,3.845075148054032e-14,1.6197105670918794e-59,8.156196358270643e-16,1.6871166129029469e-37,5.673776394425767e-17,1.5818630689417372e-15,3.796471596886906e-16,1.8432265922424165e-27,1.7790343250032297e-108,9.958163196239559e-83,7.798478621767083e-57,4.568445958978276e-74,3.3077821366245975e-79,1.1951461867509557e-42
