Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52)
8.420853062940398e-24,0.054700809901540644,2.1810749649184004e-21,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,4.940778156304947e-112,5.469411042221797e-125,0.002,2.762462807271854e-199,1.4287857986987566e-161,2.2059171953756095e-19,1.645863128958477e-98,3.331733789559966e-22,1.3521585533012873e-63,3.0416985707962297e-24,9.075138609781659e-21,2.1780332663476044e-21,8.254849573977887e-44,3.1577660258028233e-186,1.8716311685704821e-137,3.927924497179194e-95
1.6849022244962413e-23,0.054700809901540644,4.364044868989641e-21,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,7.908924646658531e-111,3.504814333273716e-123,0.002,2.836292367793947e-196,3.663870928792571e-159,4.413750913075112e-19,5.273264329198874e-97,6.6663622218563e-22,1.0825490129337257e-62,6.086039798908529e-24,1.8158161788294613e-20,4.3579588291907326e-21,3.3040911054925433e-43,1.6210760277216516e-183,2.3997192994770193e-135,1.258487642021746e-93
3.370536060900644e-23,0.054700809901540644,8.729984677132122e-21,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,1.2657223111983075e-109,2.2444874559245557e-121,0.002,2.90822556883703e-193,9.387427413147491e-157,8.829418348472616e-19,1.6884857283307496e-95,1.333561908644897e-21,8.663682191003904e-62,1.2174722255133127e-23,3.632420814532035e-20,8.717809954876989e-21,1.3220668200068247e-42,8.310935591318525e-181,3.074223504800292e-133,4.029645165958559e-92
6.74180373370945e-23,0.054700809901540644,1.7461864293417083e-20,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,2.0253911921392573e-108,1.4369221648386826e-119,0.002,2.980002129806882e-190,2.404195452566917e-154,1.7660753219261625e-18,5.404820816017609e-94,2.6674132815634307e-21,6.932262069176395e-61,2.4352087167582326e-23,7.26563008593712e-20,1.7437512206249502e-20,5.289128158344921e-42,4.258024197965229e-178,3.936659972529017e-131,1.2898841531329904e-90
1.3484339079327062e-22,0.054700809901540644,3.4925623525987e-20,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,3.2408143029155665e-107,9.197742894899428e-118,0.002,3.0525359823380787e-187,6.156038763579053e-152,3.5323422960815654e-18,1.7298093759536897e-92,5.335116027400498e-21,5.546336238304774e-60,4.870681699248072e-23,1.453204862874703e-19,3.487691670899453e-20,2.115823451326076e-41,2.1808319748146793e-175,5.0399836096102367e-129,4.128265726989657e-89
2.696940977056229e-22,0.054700809901540644,6.985314199112682e-20,0.938,0.0,0.0,0.03504293087030682,0.01,0.049999999999999996,5.185453601427806e-106,5.887016819417926e-116,0.002,3.126316117091664e-184,1.5761121921379226e-149,7.064876244382771e-18,5.535816966184879e-91,1.0670521519074628e-20,4.437279635340348e-59,9.741627664227745e-23,2.9064885714365803e-19,6.975572571448456e-20,8.463638194043349e-41,1.116771282059271e-172,6.451856978408078e-127,1.3211468718743788e-87
5.3939551153032735e-22,0.054700809901540644,1.3970817892140643e-19,0.938,0.0,0.0,0.03504293087030681,0.01,0.04999999999999999,8.296846336874678e-105,3.76783865212004e-114,0.0019999999999999996,3.201613792066444e-181,4.0350603108604274e-147,1.412994414094678e-17,1.7715298617409683e-89,2.1341332502422886e-20,3.549907968818259e-58,1.9483519594187093e-22,5.813055988559921e-19,1.3951334372546459e-19,3.385524156992037e-40,5.7183437555049056e-170,8.25881138932772e-125,4.227832940038067e-86
1.0787983391797363e-21,0.054700809901540644,2.794182527819655e-19,0.938,0.0,0.0,0.0350429308703068,0.01,0.049999999999999975,1.3275050602447184e-103,2.4114643740245857e-112,0.0019999999999999987,3.278589162732811e-178,1.0330028508460709e-144,2.826007993392122e-17,5.66900579024788e-88,4.2682954469119383e-20,2.83996008039072e-57,3.896730345410576e-22,1.162619082280494e-18,2.7902857974742443e-19,1.3542234391149251e-39,2.9279139090242305e-167,1.0571558010796862e-122,1.3529326132718183e-84
2.157603994478554e-21,0.054700809901540644,5.58838400503083e-19,0.938,0.0,0.0,0.03504293087030677,0.01,0.04999999999999995,2.1240158146755417e-102,1.5433528419896822e-110,0.0019999999999999974,3.3573460735034715e-175,2.644523069710734e-142,5.652035151925574e-17,1.8140999626718723e-86,8.536619840251231e-20,2.271981547605361e-56,7.7934871173943015e-22,2.3252460491288324e-18,5.580590517913436e-19,5.416921311782951e-39,1.4991234918724455e-164,1.353177660314449e-120,4.329426077951403e-83
4.31521530507619e-21,0.054700809901540644,1.1176786959453154e-18,0.938,0.0,0.0,0.03504293087030671,0.01,0.04999999999999989,3.398431481974229e-101,9.877513348756981e-109,0.0019999999999999944,3.4379602722910826e-172,6.770028351311983e-140,1.1304089468746738e-16,5.805151879504886e-85,1.707326862692979e-19,1.8175906331287463e-55,1.5587000661361718e-21,4.6504999828228504e-18,1.1161199958791792e-18,2.1667740378416215e-38,7.675596802964538e-162,1.7320799741246015e-118,1.3854230188626882e-81
