Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
2.069942500486451e-23,0.048764219312884285,5.054991860654112e-21,1.1064414876548062e-42,9.106577069778848e-21,1.407503763664517e-184,5.059510167170302e-21,0.938,7.84069890839556e-98,4.0601090104019815e-21,2.113372717771572e-61,4.518306516189633e-24,2.1062466086058397e-19,0.0,0.0,0.031239778156881656,0.01,0.05,8.293711633388342e-102,4.208749881829741e-123,0.002,1.3383491190558665e-197,3.517887214510691e-119
4.14168338715925e-23,0.048764219312884285,1.011437554742522e-20,4.428649420358002e-42,1.8221066022328944e-20,7.225584751472591e-182,1.0123416086006266e-20,0.938,2.5121212712085382e-96,8.123745483019776e-21,1.6919831953072038e-60,9.040538581046678e-24,4.2143231447603465e-19,0.0,0.0,0.031239778156881656,0.01,0.05,1.3276115274595135e-100,2.696979027075458e-121,0.002,1.3741178242485667e-194,1.1262653740009683e-117
8.285165160504848e-23,0.048764219312884285,2.023314292096745e-20,1.7720366264475117e-41,3.6450043927428957e-20,3.7044141144913976e-179,2.025122792367821e-20,0.938,8.04374790732001e-95,1.6251018428255368e-20,1.3541007844839069e-59,1.8085002710760767e-23,8.430476217069128e-19,0.0,0.0,0.031239778156881656,0.01,0.05,2.124672576827883e-99,1.7271487123103338e-119,0.0019999999999999996,1.4089677835735704e-191,3.604915541362369e-116
1.6572128707196046e-22,0.048764219312884285,4.047067766805199e-20,7.089300386774632e-41,7.290799973762824e-20,1.8979192663764246e-176,4.050685159902218e-20,0.938,2.574793196495011e-93,3.2505564318726545e-20,1.0834863628464591e-58,3.617393097018894e-23,1.6862782361685754e-18,0.0,0.0,0.031239778156881656,0.01,0.05,3.399871429255357e-98,1.1057215906645134e-117,0.0019999999999999987,1.4437418468233902e-188,1.1537115883707719e-114
3.314605580057844e-22,0.048764219312884285,8.094574716222134e-20,2.8359509473598923e-40,1.4582391135802384e-19,9.72057166930272e-174,8.101809894971039e-20,0.938,8.240608648200576e-92,6.50146560996689e-20,8.668713931800569e-58,7.235178748904527e-23,3.3727394650915246e-18,0.0,0.0,0.031239778156881653,0.01,0.05,5.440110531928408e-97,7.077726918204431e-116,0.001999999999999997,1.478882784706252e-185,3.692098867039e-113
6.629390998734322e-22,0.048764219312884285,1.6189588615056122e-19,1.1344265391316984e-39,2.916557345988032e-19,4.977758476927225e-171,1.6204059365108795e-19,0.938,2.637198053256415e-90,1.300328396615536e-19,6.935300374752292e-57,1.4470750052675795e-22,6.7456619229359235e-18,0.0,0.0,0.03123977815688165,0.01,0.05,8.704429847358295e-96,4.530100057565389e-114,0.0019999999999999935,1.5146274855487885e-182,1.181507122956508e-111
1.325896183608728e-21,0.048764219312884285,3.2379616412724545e-19,4.537798478659374e-39,5.833193810803147e-19,2.548823763047737e-168,3.2408558305384763e-19,0.938,8.439359042977494e-89,2.6006920678532293e-19,5.5483719952298145e-56,2.894189266021832e-22,1.3491506838618721e-17,0.0,0.0,0.031239778156881642,0.01,0.05,1.3927290153357868e-94,2.899377587901228e-112,0.0019999999999999866,1.5511073341724142e-179,3.7808795704184664e-110
2.6518103510793195e-21,0.048764219312884285,6.475967200806322e-19,1.8151378561454703e-38,1.1666466740431483e-18,1.305051893939778e-165,6.481755618593852e-19,0.938,2.700646938736315e-87,5.201419410328613e-19,4.438750275356808e-55,5.788417787530335e-22,2.6983196669960315e-17,0.0,0.0,0.03123977815688163,0.01,0.05,2.2283826165252517e-93,1.8556379935802622e-110,0.0019999999999999727,1.5883998538154213e-176,1.2098905469438991e-108
5.303638686020502e-21,0.048764219312884285,1.2951978319874783e-18,7.260588354836473e-38,2.3333012599680582e-18,6.682004267762774e-163,1.296355519470533e-18,0.938,8.642153478029965e-86,1.0402874095279372e-18,3.551021292572763e-54,1.1576874830547332e-21,5.3966576332547495e-17,0.0,0.0,0.031239778156881597,0.01,0.05,3.5654251406107144e-92,1.1876199441288192e-108,0.001999999999999945,1.626555214663251e-173,3.871664285895766e-107
1.0607295355902869e-20,0.048764219312884285,2.5904000558014614e-18,2.9042427285833817e-37,4.66661043181485e-18,3.4212216610440214e-160,2.592715434693119e-18,0.938,2.7655024376297843e-84,2.080578346518085e-18,2.8408254637652167e-53,2.3153788916581277e-21,1.0793333565733783e-16,0.0,0.0,0.03123977815688154,0.01,0.05,5.70469059016914e-91,7.60080485500078e-107,0.00199999999999989,1.6656098280553744e-170,1.2389348975910498e-105
