Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46)
7.555878118941718e-24,0.07384695533935311,2.306610719331581e-21,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,3.050887724005118e-104,1.4677658004309047e-113,0.002,1.7277745572671954e-182,6.1358182474260014e-148,2.299786284026904e-19,1.1078668996962148e-91,1.3697039389892297e-21,4.327012609369033e-58,3.589491793988862e-23,9.461315839131625e-21,2.270715801391692e-21,1.0615060767070336e-40,3.871578655107472e-170,9.09844814949673e-128,1.2706449462541286e-88,1.883591833755045e-98,3.8021520779662773e-110
1.5118320858316921e-23,0.07384695533935311,4.615225444500983e-21,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,4.883692588820438e-103,9.405485469324359e-112,0.002,1.773951045060369e-179,1.5734231185215475e-145,4.601570644754845e-19,3.5495509274003153e-90,2.740597890088789e-21,3.4642410964049286e-57,7.182102173376498e-23,1.893085176152838e-20,4.543404422767217e-21,4.248790671502105e-40,1.98752006579202e-167,1.1665611236270818e-125,4.07108375784405e-87,3.015149720718093e-97,1.2172738837162206e-108
3.024320633706733e-23,0.07384695533935311,9.232454894839787e-21,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,7.815726193961087e-102,6.023284570517904e-110,0.002,1.818941457781908e-176,4.031363430274072e-143,9.205139366207776e-19,1.1365571100815057e-88,5.482385792287908e-21,2.772445730715071e-56,1.436732293215177e-22,3.786992360631934e-20,9.088781665518269e-21,1.70006969921484e-39,1.0189621541081156e-164,1.494453795975853e-123,1.3035505822285234e-85,4.825361782487873e-96,3.896212777883198e-107
6.049297729456813e-23,0.07384695533935311,1.8466913795517397e-20,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,1.2506617207951654e-100,3.856110238093689e-108,0.002,1.863833895512686e-173,1.0324645025771247e-140,1.8412276809101824e-18,3.6381044807578076e-87,1.0965961596686145e-20,2.2183778160138415e-55,2.8737764449702314e-22,7.574806729589113e-20,1.817953615102037e-20,6.801385815768281e-39,5.22055000854709e-162,1.9137048423869735e-121,4.172648383523476e-84,7.721476635405401e-95,1.2469379049128544e-105
1.2099251920956974e-22,0.07384695533935311,3.693583159687262e-20,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,2.0011754510454047e-99,2.468297241952902e-106,0.002,1.9091999690772674e-170,2.6436666888901513e-138,3.682655169484267e-18,1.1643729528990017e-85,2.193311320548262e-20,1.774870763389716e-54,5.74786474848034e-22,1.5150435467499414e-19,3.6361045122024586e-20,2.72077574585857e-38,2.6738087293931786e-159,2.4500569016985412e-119,1.3354533637742797e-82,1.2355080843244918e-93,3.990441001254834e-104
2.4199160303957294e-22,0.07384695533935311,7.387366719958309e-20,0.938,0.0,0.0,0.04730850887943983,0.01,0.049999999999999996,3.2019749565761195e-98,1.5798340128483298e-104,0.002,1.955345505787623e-167,6.768500606821641e-136,7.365510146613532e-18,3.726280766986972e-84,4.3867416423075556e-20,1.4199640185450987e-53,1.1496041355500557e-21,3.0301692943303785e-19,7.272406306403304e-20,1.0883545838317302e-37,1.36921724243259e-156,3.1364023382781995e-117,4.273780203662491e-81,1.9768703930009904e-92,1.2769794732545666e-102
4.839897706995795e-22,0.07384695533935311,1.477493384050041e-19,0.938,0.0,0.0,0.047308508879439826,0.01,0.04999999999999999,5.123238123836454e-97,1.0111334118102752e-102,0.0019999999999999996,2.002440141656736e-164,1.732827594635999e-133,1.4731220100796462e-17,1.1924558573078563e-82,8.773602285826142e-20,1.1359981786921683e-52,2.299239456954098e-21,6.060420789484759e-19,1.4545009894805e-19,4.353506907890407e-37,7.010974117649469e-154,4.0148060199006887e-115,1.3676623776937523e-79,3.1630385951201634e-91,4.08639567877228e-101
9.679861060195925e-22,0.07384695533935311,2.9550068081584663e-19,0.938,0.0,0.0,0.04730850887943981,0.01,0.049999999999999975,8.19725253004409e-96,6.471381117242654e-101,0.0019999999999999987,2.0505840013651606e-161,4.4361559763209863e-131,2.946264000885991e-17,3.815932613199778e-81,1.7547323572863316e-19,9.08809328644539e-52,4.5985100997621815e-21,1.2120923779767556e-18,2.909021707160844e-19,1.741420477834613e-36,3.58976792307203e-151,5.139087101286723e-113,4.376603949095219e-78,5.060898524777158e-90,1.3076564353717713e-99
1.9359787766596185e-21,0.07384695533935311,5.910033656375329e-19,0.938,0.0,0.0,0.04730850887943978,0.01,0.04999999999999995,1.3115690000808012e-94,4.141725182183054e-99,0.0019999999999999974,2.099841943778423e-158,1.1356710963596261e-128,5.89254798237771e-17,1.2211104149725535e-79,3.5094766146937635e-19,7.270517772277326e-51,9.197051385378336e-21,2.4241929760229265e-18,5.818063142521544e-19,6.965717340917616e-36,1.8379995883902566e-148,6.57811899992824e-111,1.4005267573832184e-76,8.097467056207459e-89,4.1845163014045414e-98
3.8719641179396706e-21,0.07384695533935311,1.1820087352809112e-18,0.938,0.0,0.0,0.047308508879439715,0.01,0.04999999999999989,2.09852646905639e-93,2.650718008927769e-97,0.0019999999999999944,2.150261160220584e-155,2.9073381746325832e-126,1.1785115944877284e-16,3.907573514454057e-78,7.018965129508618e-19,5.816431475239526e-50,1.8394133956610606e-20,4.848394172073716e-18,1.1636146013243008e-18,2.786294022350315e-35,9.410658501349357e-146,8.420050517156994e-109,4.48170720749354e-75,1.2955970818370636e-87,1.33904772922076e-96
7.743934800499773e-21,0.07384695533935311,2.3640194745676914e-18,0.938,0.0,0.0,0.04730850887943959,0.01,0.049999999999999774,3.3576846222978196e-92,1.696464850332766e-95,0.0019999999999999883,2.201880272451093e-152,7.442815406587834e-124,2.3570251867940943e-16,1.2504274075596568e-76,1.4037942159138286e-18,4.653152083348862e-49,3.678829909907497e-20,9.69679656400909e-18,2.3272311754686158e-18,1.1145190261796917e-34,4.818285236611899e-143,1.0777707515304528e-106,1.4341497559013826e-73,2.0729572116743994e-86,4.284956750464862e-95
