Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18)
9.447101539166904e-24,0.041572359999999996,2.1303160085500487e-21,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,1.4294778922606142e-121,6.285800568915618e-139,0.002,8.214659480483861e-220,2.5424714740068865e-178,2.1574322253026645e-19,7.725520863008241e-107,6.126913835138e-23,2.6494409112904245e-70,1.5483729216075605e-25,8.875671546907866e-21,2.1301611712578877e-21,1.3632541853595628e-47,6.951002575853816e-206,2.5580299866436844e-149
1.8902410812077655e-23,0.041572359999999996,4.262482856377726e-21,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,2.288229218931536e-120,4.027959082373573e-137,0.002,8.434204394967587e-217,6.519722766945411e-176,4.316738848715733e-19,2.4752187947142396e-105,1.225915079263494e-22,2.1211637037143645e-69,3.098091084676118e-25,1.7759054363621907e-20,4.262173047269257e-21,5.456569487535594e-47,3.568378256541854e-203,3.2797882496532214e-147
3.781302935789916e-23,0.041572359999999996,8.52681655203308e-21,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,3.6620184270382767e-119,2.579509992505753e-135,0.002,8.648110142561391e-214,1.6704579706759435e-173,8.63535209554128e-19,7.925587132331954e-104,2.452362470762881e-22,1.6975756298178997e-68,6.197527410813234e-25,3.552581999704998e-20,8.526196799291999e-21,2.1833385486309598e-46,1.8294368216162245e-200,4.201658955110076e-145
7.563426644954216e-23,0.041572359999999996,1.7055483943343784e-20,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,5.859910836522767e-118,1.6514037719610286e-133,0.002,8.861550063195852e-211,4.278176805532479e-171,1.7272578589190011e-18,2.536970092347877e-102,4.905257253761657e-22,1.3583184279765994e-67,1.2396400063087464e-24,7.10593512639061e-20,1.7054244303337476e-20,8.734775919425306e-46,9.372935354859546e-198,5.380383846003389e-143
1.5127674063282818e-22,0.041572359999999996,3.411281872596521e-20,0.938,0.0,0.0,0.02663246376457174,0.01,0.05,9.376402459011659e-117,1.0570640095225204e-131,0.002,9.077241858012231e-208,1.0954442897337043e-168,3.4547031576478017e-18,8.119556088339433e-101,9.811046819759208e-22,1.0867579266899703e-66,2.4794145367635926e-24,1.4212641379761828e-19,3.4110339311428437e-20,3.4941947451338314e-45,4.8005356238229164e-195,6.888338367813106e-141
3.025616889994002e-22,0.041572359999999996,6.822748829120802e-20,0.938,0.0,0.0,0.026632463764571738,0.01,0.05,1.5002680152370413e-115,6.7657396609892616e-130,0.002,9.29663955918461e-205,2.804633154134149e-166,6.9095937551016176e-18,2.598458270648015e-99,1.9622625951754307e-21,8.694476231003288e-66,4.958963597673284e-24,2.8426053886504227e-19,6.822252932761034e-20,1.3977347852579067e-44,2.458282088352631e-192,8.817999398054058e-139
6.051315857325442e-22,0.041572359999999996,1.364568274216936e-19,0.938,0.0,0.0,0.02663246376457173,0.01,0.049999999999999996,2.4004637606927168e-114,4.330243047707208e-128,0.0019999999999999996,9.520549664235804e-202,7.180239582179493e-164,1.381937494999411e-17,8.315387106173268e-98,3.924578421574449e-21,6.955746209332588e-65,9.918061719492661e-24,5.68528788999889e-19,1.3644690935997407e-19,5.591052995118336e-44,1.2587448756458294e-189,1.128763224010326e-136
1.2102713791988323e-21,0.041572359999999996,2.7291550568266454e-19,0.938,0.0,0.0,0.026632463764571717,0.01,0.04999999999999998,3.8407700905665023e-113,2.7714099169740633e-126,0.0019999999999999987,9.749448146776884e-199,1.838189857356698e-161,2.7638937339718558e-17,2.660975247691737e-96,7.849210074372483e-21,5.564663207164245e-64,1.98362579631314e-23,1.1370652892695769e-18,2.728956694247014e-19,2.236444031189535e-43,6.445041426307646e-187,1.4448549185724773e-134
2.4205509661314086e-21,0.041572359999999996,5.458328622046057e-19,0.938,0.0,0.0,0.02663246376457169,0.01,0.049999999999999954,6.14525500177659e-112,1.7737198370762068e-124,0.0019999999999999974,9.983643240220906e-196,4.705828393538017e-159,5.5278062118925264e-17,8.515203440284202e-95,1.569847337996853e-20,4.4517573001941147e-63,3.9672650450408824e-23,2.2741382898089314e-18,5.4579318955415525e-19,8.945822288223903e-43,3.299930006182312e-184,1.8494387080354333e-132
4.841110139996561e-21,0.041572359999999996,1.0916675752484848e-18,0.938,0.0,0.0,0.02663246376457163,0.01,0.0499999999999999,9.832427562270418e-111,1.135186411343961e-122,0.0019999999999999944,1.0223359035178129e-192,1.20470017696331e-156,1.1055631167637e-16,2.724878611814159e-93,3.139699999116056e-20,3.561416915427008e-62,7.934543542496347e-23,4.548284290887554e-18,1.0915882298130598e-18,3.5783385455860516e-42,1.689582054054092e-181,2.3672974188108992e-130
